season,week,slate,captain_position,captain_name,captain_team,captain_salary,captain_actual_points_base,optimal_lineup_points,game_total_line,game_spread_abs,max_team_implied_total,min_team_implied_total,implied_total_diff,has_vegas_line,pool_size,team_count,team1_player_count,team2_player_count,qb_count,rb_count,wr_count,te_count,k_count,dst_count,top_qb_proj_mean,top_rb_proj_mean,top_wr_proj_mean,top_te_proj_mean,top_k_proj_mean,top_dst_proj_mean,top_qb_salary,top_rb_salary,top_wr_salary,top_te_salary,top_k_salary,top_dst_salary,max_team_skill_out_count,team_skill_out_count_diff,max_team_position_out_count,injury_report_coverage,questionable_or_worse_count,rb_position_out_max,wr_position_out_max,te_position_out_max,max_team_available_skill_count,team_available_skill_count_diff,max_team_missing_usage_share,team_missing_usage_share_diff,max_team_available_usage_concentration,team_available_usage_concentration_diff,min_team_usage_identity_coverage
2025,8,thursday_night,QB,Justin Herbert,LAC,15600,26.279999999999998,127.22,45.5,3.0,24.25,21.25,3.0,1.0,55.0,2.0,28.0,27.0,6.0,15.0,18.0,12.0,2.0,2.0,22.25743067821209,12.493800003362225,21.826152974204916,11.235695697220233,9.559461944600214,6.684705882352941,10400.0,8600.0,11800.0,5800.0,5400.0,4400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,0.1721141581632653,0.03842105543829821,0.782608695652174
2025,9,monday_night,QB,Jacoby Brissett,ARI,12900,24.839999999999996,115.75999999999999,53.5,3.5,28.5,25.0,3.5,1.0,51.0,2.0,26.0,25.0,6.0,12.0,17.0,12.0,2.0,2.0,22.84978792577147,17.452832620234368,20.519786990161386,16.417104451290445,13.7428911003466,6.612676056338028,10400.0,10000.0,10800.0,9000.0,5400.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.1659192825112108,0.1659192825112108,0.18418314255983353,0.025841137703780825,0.8181818181818182
2025,9,sunday_night,QB,Sam Darnold,SEA,15900,31.200000000000003,134.32,47.5,2.5,25.0,22.5,2.5,1.0,54.0,2.0,29.0,25.0,7.0,13.0,19.0,11.0,2.0,2.0,24.523956056530754,11.271084674665524,22.220809970464334,12.97851214754049,10.974641274931068,7.400911161731207,11600.0,7600.0,12000.0,6200.0,5000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,4.0,0.005586592178770999,0.005586592178770999,0.19508744855967078,0.025222532513717005,0.85
2025,9,thursday_night,QB,Lamar Jackson,BAL,17700,25.56,112.53999999999999,51.5,7.5,29.5,22.0,7.5,1.0,52.0,2.0,29.0,23.0,6.0,13.0,18.0,10.0,3.0,2.0,29.849159959206247,21.304689744050993,19.56313330865678,11.86348912115971,10.307259283494124,8.627539503386005,11800.0,11400.0,10400.0,5000.0,5400.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,0.005154639175257714,0.005154639175257714,0.21850251013450026,0.004177703471799438,0.8333333333333334
2025,10,monday_night,RB,Josh Jacobs,GB,15900,20.7,85.85,45.5,1.5,23.5,22.0,1.5,1.0,54.0,2.0,28.0,26.0,7.0,10.0,20.0,12.0,3.0,2.0,24.70792015968894,18.077758426664907,15.96361802613719,14.498297107613496,9.198384009673259,7.572706935123042,11000.0,10800.0,9200.0,7400.0,5000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,0.2035829093973347,0.014090671295017815,0.8181818181818182
2025,10,sunday_night,WR,Ladd McConkey,LAC,14100,23.700000000000003,103.65,45.5,3.0,24.25,21.25,3.0,1.0,52.0,2.0,26.0,26.0,7.0,13.0,17.0,11.0,2.0,2.0,27.042336881838988,16.309428821651764,16.67963632115405,14.091683812891512,9.61665286426473,8.08843537414966,10600.0,9000.0,9400.0,7000.0,5400.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.008547008547008517,0.0037851037851037717,0.17743014268727708,0.007264624498590944,0.9
2025,11,monday_night,WR,George Pickens,DAL,13500,32.4,127.52,48.5,3.5,26.0,22.5,3.5,1.0,52.0,2.0,26.0,26.0,7.0,11.0,18.0,11.0,3.0,2.0,19.964754072763505,15.56536636218028,20.313985054642906,16.392491725983774,11.713917677654559,6.622950819672131,10400.0,10000.0,11000.0,8000.0,5400.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.05747126436781613,0.05747126436781613,0.26197204045211187,0.07974063549343419,0.8181818181818182
2025,11,thursday_night,RB,TreVeyon Henderson,NE,15900,32.3,126.53,43.5,12.5,28.0,15.5,12.5,1.0,56.0,2.0,28.0,28.0,6.0,16.0,22.0,8.0,2.0,2.0,22.1382276162663,17.02871230219447,15.909106374751342,9.20370033539798,8.33412598342949,8.140350877192983,12000.0,10600.0,9800.0,5400.0,5000.0,6600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.2426186600274506,0.10446922665124639,0.56
2025,12,sunday_night,WR,Davante Adams,LAR,14700,23.2,118.82000000000001,49.5,7.0,28.25,21.25,7.0,1.0,54.0,2.0,29.0,25.0,6.0,10.0,21.0,12.0,3.0,2.0,24.198445317996402,18.544448964961738,22.25125883949035,10.414440273166171,9.212648518881714,7.341067285382831,10800.0,10000.0,11800.0,5400.0,5000.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,5.0,0.0,0.0,0.16817315161358662,0.16817315161358662,0.8
2025,16,monday_night,WR,Alec Pierce,IND,10500,24.6,153.20000000000002,46.5,4.5,25.5,21.0,4.5,1.0,56.0,2.0,28.0,28.0,9.0,12.0,21.0,9.0,3.0,2.0,20.231942569499726,23.569036779254837,13.516113536078123,17.30117447719616,9.660067144359347,6.70561797752809,10400.0,11800.0,8000.0,8400.0,5000.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.014423076923076872,0.014423076923076872,0.2715288518738846,0.004296341585818764,0.8571428571428571
2025,17,monday_night,RB,Bijan Robinson,ATL,17700,42.9,137.51,48.5,7.5,28.0,20.5,7.5,1.0,52.0,2.0,28.0,24.0,8.0,8.0,20.0,11.0,3.0,2.0,26.379245818174294,23.059422627959602,26.0385099676394,15.775742560854322,9.868199861453753,6.690205011389522,10800.0,11800.0,12200.0,8800.0,5000.0,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3.0,0.0,0.0,0.25756036192964626,0.25756036192964626,0.8
2025,17,sunday_late,QB,Josh Allen,BUF,17100,24.18,95.47,45.5,3.0,24.25,21.25,3.0,1.0,49.0,2.0,25.0,24.0,6.0,10.0,18.0,9.0,4.0,2.0,24.23094046178609,20.055677967477845,18.143629579083044,12.515673972693993,8.992398800134119,7.5881057268722465,11400.0,11000.0,10000.0,5400.0,4800.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,0.014634146341463428,0.014634146341463428,0.2720811685128909,0.03784633856292505,0.8888888888888888
2025,17,sunday_night,WR,Luther Burden III,CHI,10200,30.8,180.51999999999998,51.5,3.5,27.5,24.0,3.5,1.0,52.0,2.0,28.0,24.0,7.0,12.0,20.0,9.0,2.0,2.0,24.02521985865549,23.512883713121134,15.168421546274601,19.662150296003997,7.678472894452625,7.623831775700935,10600.0,11800.0,8800.0,9000.0,5400.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,0.0,0.0,0.2705534004235303,0.07645665841971386,0.8
